City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fort bragg,35.139,-79.006,293.06,78,100,0.0,US,1731278848
1,petropavlovsk-kamchatsky,53.0452,158.6483,268.48,86,100,3.0,RU,1731278849
2,thompson,55.7435,-97.8558,272.24,74,40,0.0,CA,1731278850
3,puerto ayora,-0.7393,-90.3518,296.23,79,90,2.68,EC,1731278851
4,ust-nera,64.5667,143.2,247.51,99,95,1.21,RU,1731278852
5,koton-karfe,8.1,6.8,298.43,57,98,1.0,NG,1731278856
6,ishigaki,24.3448,124.1572,297.22,88,75,3.09,JP,1731278857
7,invercargill,-46.4,168.35,285.38,59,65,6.71,NZ,1731278596
8,itoman,26.1247,127.6694,300.42,89,75,4.63,JP,1731278859
9,iqaluit,63.7506,-68.5145,270.0,63,75,4.12,CA,1731278860
10,hafnarfjordur,64.0671,-21.9377,279.08,81,75,7.72,IS,1731278861
11,port mathurin,-19.6833,63.4167,297.31,81,84,9.38,MU,1731278800
12,celestun,20.8667,-90.4,300.49,79,96,2.89,MX,1731278863
13,kiunga,-6.1219,141.2906,297.93,93,100,1.43,PG,1731278864
14,remire-montjoly,4.9167,-52.2667,298.17,94,75,1.03,GF,1731278865
15,plovdiv,42.15,24.75,276.19,70,75,1.03,BG,1731278866
16,nar'yan-mar,67.6713,53.087,264.52,93,26,3.21,RU,1731278738
17,cozumel,20.5083,-86.9458,302.19,74,40,2.57,MX,1731278869
18,adamstown,-25.066,-130.1015,295.21,71,100,5.51,PN,1731278785
19,sevastopol,44.6,33.5333,281.48,62,95,0.45,UA,1731278871
20,albany,42.6001,-73.9662,283.52,57,100,1.54,US,1731278865
21,tiksi,71.6872,128.8694,255.09,99,86,1.34,RU,1731278873
22,margaret river,-33.95,115.0667,286.08,71,56,2.61,AU,1731278874
23,callao,-12.0667,-77.15,296.88,64,0,8.23,PE,1731278875
24,edinburgh of the seven seas,-37.0676,-12.3116,288.97,86,100,14.33,SH,1731278876
25,puerto natales,-51.7236,-72.4875,282.4,66,75,4.63,CL,1731278699
26,koungou,-12.7336,45.2042,298.99,83,0,1.54,YT,1731278878
27,waitangi,-43.9535,-176.5597,289.16,96,100,3.13,NZ,1731278879
28,papatowai,-46.5619,169.4708,284.95,47,78,6.71,NZ,1731278881
29,pemangkat,1.1667,108.9667,298.59,90,100,2.79,ID,1731278882
30,as sulayyil,20.4607,45.5779,293.77,38,10,2.69,SA,1731278883
31,dolbeau-mistassini,48.8763,-72.212,277.41,71,98,2.15,CA,1731278884
32,isafjordur,66.0755,-23.124,276.23,92,93,10.61,IS,1731278885
33,severo-yeniseyskiy,60.3725,93.0408,265.48,87,100,3.14,RU,1731278886
34,port-aux-francais,-49.35,70.2167,277.68,86,59,11.12,TF,1731278887
